id_pais,anio,inmigrantes,emigrantes
OMN,1990,0.0,14.0
PAK,1990,12.0,0.0
PLW,1990,4.0,0.0
PAN,1990,377.0,615.0
PNG,1990,0.0,6.0
PRY,1990,261080.0,47261.0
PER,1990,16347.0,4386.0
PHL,1990,129.0,43.0
POL,1990,32988.0,112.0
PRT,1990,14459.0,856.0
PRI,1990,210.0,1252.0
QAT,1990,0.0,54.0
REU,1990,0.0,11.0
ROU,1990,3714.0,0.0
RUS,1990,8666.0,0.0
RWA,1990,0.0,3.0
SHN,1990,1.0,0.0
SPM,1990,0.0,0.0
WSM,1990,0.0,3.0
SMR,1990,37.0,0.0
STP,1990,0.0,0.0
SAU,1990,182.0,9.0
SEN,1990,0.0,18.0
SRB,1990,0.0,0.0
SCG,1990,6123.0,236.0
SYC,1990,0.0,0.0
SLE,1990,0.0,11.0
SGP,1990,4.0,9.0
SVK,1990,753.0,5.0
SVN,1990,2632.0,92.0
SLB,1990,0.0,0.0
SOM,1990,4.0,0.0
ZAF,1990,279.0,972.0
ESP,1990,252380.0,52801.0
LKA,1990,6.0,0.0
KNA,1990,0.0,3.0
LCA,1990,0.0,5.0
VCT,1990,0.0,2.0
SDN,1990,18.0,8.0
SUR,1990,12.0,243.0
SWZ,1990,0.0,2.0
SWE,1990,566.0,2156.0
CHE,1990,2173.0,1876.0
SYR,1990,5656.0,3.0
TWN,1990,1925.0,3.0
TJK,1990,0.0,0.0
TZA,1990,1.0,2.0
THA,1990,133.0,173.0
TLS,1990,0.0,0.0
TGO,1990,0.0,75.0
TKL,1990,0.0,0.0
TON,1990,9.0,3.0
TTO,1990,77.0,37.0
TUN,1990,100.0,8.0
TUR,1990,2866.0,503.0
TKM,1990,0.0,0.0
TCA,1990,0.0,2.0
TUV,1990,8.0,0.0
UGA,1990,1.0,0.0
UKR,1990,4534.0,0.0
ARE,1990,0.0,45.0
GBR,1990,2604.0,4574.0
USA,1990,10199.0,106364.0
URY,1990,138094.0,18724.0
UZB,1990,3.0,0.0
VUT,1990,24.0,5.0
VEN,1990,1993.0,9580.0
VNM,1990,12.0,0.0
